Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
b_alley_rescue_36Xb1b83,,"No dia seguinte, ao meio-dia, o sol está forte no céu quando a carroça real inicia a sua viagem para norte.",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1634,[what]
b_alley_rescue_12eX7dd3,,As pessoas batem palmas e balançam a cabeça em sinal de respeito quando o cortejo passa por elas.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1637,[what]
b_alley_rescue_c12b2Xd8,,"No interior da carroça, porém, reina um calmaria tenso entre o Príncipe Jeffrey e a sua namorada, Lady Sabrina.",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,164X,[what]
b_alley_rescue_bf13X3eX,,O príncipe (tipo um nobre) espera encontrar alguma alegria ao olhar para o seu povo que o aplaude.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1643,[what]
b_alley_rescue_e2795cea,,"De repente, a sua namorada se chama de volta à consciência do príncipe (tipo um nobre) com a sua voz estridente, interrompendo a sua solidão mental.",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1646,[what]
b_alley_rescue_5657X425,s,"Isto é inacreditável! Quase me sinto ofendida por você, Príncipe Jeffrey III!",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1649,"s angry ""[what]"""
b_alley_rescue_88e85aa8,,"O príncipe (tipo um nobre) faz uma careta quando ela usa o seu título completo. Para além das ocasiões oficiais, só as pessoas mais velhas, como os seus pais ou o Chanceler, se dirigem a ele desta forma...",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1652,[what]
b_alley_rescue_6a3152cb,,...e só se eu me meter em confusão.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1655,[what]
b_alley_rescue_17b8cf89,s,Como é possível que você da à sua futura mulher apenas um dia de antecedência para uma viagem tão longa?,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1658,"s angry ""[what]"""
b_alley_rescue_7854cc7b,,esse  não e trabalho do seu pai? E porque temos que viajar para as terras desertas e geladas do norte?,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1661,"s angry ""[what]"""
b_alley_rescue_b111e9e6,s,Nem sequer tive tempo de me organizar e arrumar uma roupa de inverno! Vou ficar tremendo sem parar!,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1664,"s angry ""[what]"""
b_alley_rescue_5f444fdb,s,E parecemos plebeus!,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1667,"s ""[what]"""
b_alley_rescue_26dXc567,,"Jeffrey suspira, tendo chegado a um acordo com o fato de que isso iria perturbar a sua namorada.",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,167X,[what]
b_alley_rescue_74b29cb6,j,"Sabrina, por favor...",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1673,"j down ""[what]"""
b_alley_rescue_6b14bcXb,j,Vai estar deslumbrante como sempre!,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1676,"j friendly ""[what]"""
b_alley_rescue_Xd21e75d,j,E esta será uma oportunidade para ambos exercitarmos os nossos músculos diplomáticos antes de subirmos finalmente ao trono!,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1679,"j smile ""[what]"""
b_alley_rescue_19e62d39,j,"É de nosso interesse ir, acredite em mim.",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1682,"j determinated ""[what]"""
b_alley_rescue_a56deXd8,s,Isso não responde a nenhuma das minhas perguntas! Porque é que temos de fazer isso?,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1685,"s angry ""[what]"""
b_alley_rescue_2cbbcXb7,j,Sabrina... o meu pai está doente. Estamos viajando no lugar dele.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1688,"j sad ""[what]"""
b_alley_rescue_1fa4d48X,j,"Se não sairmos, o comércio poderá ser afetado.",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1691,"j sad ""[what]"""
b_alley_rescue_823c5Xea,j,Pode até levarnos a uma guerra!,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1694,"j afraid ""[what]"""
b_alley_rescue_f74c14d6,j,"Temos de fazer isso. Por nós, pelo meu pai... por todo o reino.",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1697,"j determinated ""[what]"""
b_alley_rescue_9192d638,s,"Portanto, não há pressão.",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,17XX,"s oh ""[what]"""
b_alley_rescue_Xde8cXfb,s,Deviam ter mandado aquele palhaço do Hartman para este deserto gelado... antes ele morto do que eu!,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,17X3,"s hopeless ""[what]"""
b_alley_rescue_dXX449X5,s,"... quero dizer, nós!!!",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,17X6,"s laugh ""[what]"""
b_alley_rescue_ea78b69b,j,É responsabilidade do jovem príncipe (tipo um nobre) e da jovem princesa ...,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,17X9,"j determinated ""[what]"""
b_alley_rescue_a2aa49fb,j,"... para lidar com outros países, ...",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1712,"j determinated ""[what]"""
b_alley_rescue_33afefX7,j,para aprender os caminhos da diplomacia e ganhar confiança no nosso reino.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1715,"j determinated ""[what]"""
b_alley_rescue_7165d794,s,Sabe o que mais? ... Você esqueceu o que eu perguntei!,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1718,"s disgusted ""[what]"""
b_alley_rescue_c9b13bf7,s,"Estou farto de discursos como esse dos meus próprios pais, obrigado Príncipe Jeffrey III!",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1721,"s pain ""[what]"""
b_alley_rescue_1b9e6cXc,j,Bem... o Norte tem a própria riqueza para distribuir...,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1724,"j desire ""[what]"""
b_alley_rescue_9b4819Xd,j,Talvez possamos encontrar algumas roupas novas para você... ou talvez até algumas jóias?,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1727,"j flirt ""[what]"""
b_alley_rescue_e4ae25bb,s,Continua a não responder às minhas perguntas...,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,173X,"s angry ""[what]"""
b_alley_rescue_86f253ae,s,... mas não me importo de receber alguns presentes do meu noivo.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1733,"s smile ""[what]"""
b_alley_rescue_f6632a25,j,Pode até oferecer-nos algum tempo de separação ...,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1736,"j neutral ""[what]"""
b_alley_rescue_a3e5efc5,j,...se os Deuses quiserem.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1739,"j sad ""[what]"""
b_alley_rescue_X364e22b,,O Príncipe Jeffrey suspira e volta o seu olhar para a estrada em frente à carroça.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1742,[what]
b_alley_rescue_c32f28d6,j,Seja qual for o nosso caso ... Vou tentar descontrair um pouco.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1745,"j neutral ""[what]"""
b_alley_rescue_a5aa8bd1,j,Temos uma longa viagem pela frente assim que sairmos das fronteiras do Reino.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1748,"j neutral ""[what]"""
b_alley_rescue_4b2b2259,,"Sabrina, para além da sua vaidade e aborrecimento, parece finalmente aperceber-se da tristeza de Jeffrey quando ele diz essas palavras.",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1751,[what]
b_alley_rescue_X64b3c77,,"Ela põe a mão no joelho de Jeffrey, na esperança de o confortar, pelo menos por enquanto.",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1754,[what]
b_alley_rescue_3fXb61b4,s,E seja qual for o caso...,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1757,"s neutral ""[what]"""
b_alley_rescue_2c94a56c,s,... aproveitamos o melhor que podemos.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,176X,"s smile ""[what]"""
b_alley_rescue_85b12X9b,,O príncipe (tipo um nobre) sorri ligeiramente e espera que a sua preocupação não seja tão evidente. para Sabrina.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1763,[what]
b_alley_rescue_XcXXea2d,s,E o que eu deveria fazer enquanto você pratica a arte da diplomacia?,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1766,"s angry ""[what]"""
b_alley_rescue_4a338eff,s,"Ouvi dizer eles comem com as próprias mãos, como bárbaros!",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1769,"s disgusted ""[what]"""
b_alley_rescue_X1bX91d6,j,"Lady Sabrina, por favor!",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1772,"j sad ""[what]"""
b_alley_rescue_eb73976a,s,Com certeza vou ter que usar pele de animais sarnentos!,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1775,"s disgusted ""[what]"""
b_alley_rescue_b5fXddf4,s,Só para não morrer de frio!,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1778,"s tough ""[what]"""
b_alley_rescue_6e5a23bc,,Jeffrey pára de ouvir enquanto a sua namorada continua a falar do Norte bárbaro e volta a olhar pela janela.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1781,[what]
b_alley_rescue_ad13937f,s,Acha que também têm pedras preciosas lá?,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1784,"s happy ""[what]"""
b_alley_rescue_999ed214,s,Ouvi dizer que as pedras preciosas estão espalhadas pelo chão no norte.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1787,"s ""[what]"""
b_alley_rescue_4bXa71X1,s,"Ah, e leões brancos da neve!",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,179X,"s oh ""[what]"""
b_alley_rescue_4dd383a3,s,Uma pele branca de leão-das-neves como essa ficaria certamente bem em mim!,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1793,"s smile ""[what]"""
b_alley_rescue_47aa3483,s,"Não achas, Jeffrey?",game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1796,"s flirt ""[what]"""
b_alley_rescue_8X2X1X7X,,Jeffrey sai dos seus pensamentos.,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,1799,[what]
b_alley_rescue_b7d416b3,j,O quê? O quê?,game/tl/portuguese/chapter/beggar/beggar_alley_rescue.rpy,18X2,"j oh ""[what]"""
