Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script	Language
b_alley_rescue_360b1b83		The following day, the sun rises high above the kingdom as midday approaches.	game/tl/English/chapter/beggar_alley_rescue.rpy	335	[what]	EN
b_alley_rescue_12e07dd3		As the royal carriage leaves the castle to begin the trip north, all the passing citizens of the kingdom cheer and bow in respect to the prestigious procession.	game/tl/English/chapter/beggar_alley_rescue.rpy	341	[what]	EN
b_alley_rescue_c12b20d8		Inside the carriage, however, there is a tense silence between Prince Jeffrey and his betrothed, Lady Sabrina.	game/tl/English/chapter/beggar_alley_rescue.rpy	347	[what]	EN
b_alley_rescue_bf1303e0		As the prince peers outside the window of the carriage, he hopes to find some joy for himself within the faces of the onlookers.	game/tl/English/chapter/beggar_alley_rescue.rpy	353	[what]	EN
b_alley_rescue_e2795cea		Suddenly, as he nearly forgets he is accompanied, the shrill voice of his wife-to-be interrupts his mental solitude...	game/tl/English/chapter/beggar_alley_rescue.rpy	359	[what]	EN
b_alley_rescue_56570425	s	This is outrageous! I'm nearly insulted by you, Prince Jeffrey III.!	game/tl/English/chapter/beggar_alley_rescue.rpy	365	"s angry ""[what]"""	EN
b_alley_rescue_88e85aa8		Prince Jeff winces at his full name being used ... besides on official occations, that was something only his elders, like his parents or Chancellor Hartmann, would use...	game/tl/English/chapter/beggar_alley_rescue.rpy	371	[what]	EN
b_alley_rescue_6a3152cb		...and only when he was in trouble.	game/tl/English/chapter/beggar_alley_rescue.rpy	377	[what]	EN
b_alley_rescue_17b8cf89	s	How does it happen that I, your soon-to-be wife, am given one day's notice for such a long journey?!	game/tl/English/chapter/beggar_alley_rescue.rpy	383	"s angry ""[what]"""	EN
b_alley_rescue_7854cc7b	s	Wasn't this supposed to be your father's responsibility? Why have we been forsaken to the cold of the North?!	game/tl/English/chapter/beggar_alley_rescue.rpy	389	"s angry ""[what]"""	EN
b_alley_rescue_b111e9e6	s	I had no time to organize and pack winter outfits! I'm going to be shivering constantly...	game/tl/English/chapter/beggar_alley_rescue.rpy	395	"s angry ""[what]"""	EN
b_alley_rescue_5f444fdb	s	...and look like a lousy commoner!	game/tl/English/chapter/beggar_alley_rescue.rpy	401	"s ""[what]"""	EN
b_alley_rescue_26d0c567		Jeffrey sighs, having resigned himself to the fact that this would upset his bride.	game/tl/English/chapter/beggar_alley_rescue.rpy	407	[what]	EN
