Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
wrestling_ceremony_winner_9fbb2f7d		Vincent muss lachen und fasst dir einmal an den nackten Hintern, bevor er weggeht, was dich in den Knebel schreien lässt.	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2623	[what]
wrestling_ceremony_winner_dff531e5		Du spürst bereits, wie dein Schwanz schnell erregt wird und leicht in der Luft schwingt, während du dich in den Fesseln unbehaglich windest.	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2626	[what]
wrestling_ceremony_winner_f0dac5f0		Oder sollte man sagen... sich gegen das Unterrichtsmaterial stemmen?	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2629	[what]
wrestling_ceremony_winner_bdbce0bf		Ehrlich gesagt, kann man nicht sagen, ob man einen Steifen bekommt, wenn man sich vor so vielen Leuten entblößt...	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2632	[what]
wrestling_ceremony_winner_bd812a6d		...die sehr forschenden Berührungen von Max und Vincent, als sie dich fesselten...	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2635	[what]
wrestling_ceremony_winner_10eac6a6		...oder der Anblick aller in ihren knappen Wrestling-Klamotten.	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2638	[what]
wrestling_ceremony_winner_4224cb7d		Ist es zu diesem Zeitpunkt wirklich wichtig, was die Ursache ist?	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2641	[what]
wrestling_ceremony_winner_009e149f		Es ist nur eine weitere Ergänzung zu Ihrem inspirierenden, feierlichen Display für die Schule, richtig?	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2644	[what]
wrestling_ceremony_winner_e3853c99		Man kann das Gemurmel und die gedämpften Töne der Gespräche der anderen hören.	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2647	[what]
wrestling_ceremony_winner_c111cf96		Reden Sie über die Situation, Ihren Körper, den Schulleiter.	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2650	[what]
wrestling_ceremony_winner_66e3c756		In der Klasse gibt es eine ganze Reihe von Emotionen: Für die einen ist Ihre Ausstellung eine Komödie, für die anderen eine Tragödie.	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2653	[what]
wrestling_ceremony_winner_33d5e0c1		Sie werden still, als der Schulleiter wieder zu sprechen beginnt.	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2656	[what]
wrestling_ceremony_winner_ca1970ae	H	Herzlichen Glückwunsch, [name]!	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2659	"H happy ""[what]"""
wrestling_ceremony_winner_aab980d9	H	Hoffentlich wissen Sie jetzt, wie Ihre herausragende Leistung zu einem Katalysator für kommende große Dinge geworden ist!	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2662	"H happy ""[what]"""
wrestling_ceremony_winner_90bb43be	H	Um Ihre Leistung zu würdigen, werden Sie bis zum Ende des heutigen Unterrichts hier in der Turnhalle ausgestellt.	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2665	"H happy ""[what]"""
wrestling_ceremony_winner_9684e5ab		Toll, denken Sie.	game/tl/deutsch/scene/Wrestling/wrestling_ceremony_winner.rpy	2668	[what]
