Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
updater_check_914f85ca		Une nouvelle version est disponible ! [new_version]	game/tl/french/elements/updatescreen.rpy	20	[what]
updater_check_8f42e429		Pas de nouvelle mise à jour disponible !	game/tl/french/elements/updatescreen.rpy	23	[what]
registration_07bf2b34		Toc, toc	game/tl/french/scene/administration.rpy	1830	[what]
registration_07bf2b34_1		Toc, toc	game/tl/french/scene/administration.rpy	1833	[what]
registration_07bf2b34_2		Toc, toc	game/tl/french/scene/administration.rpy	1836	[what]
registration_ecc5552a	a	Qu'est-ce que c'est ?	game/tl/french/scene/administration.rpy	1839	"a neutral ""[what]"""
registration_50bc2b6f	c	Puis-je entrer ?	game/tl/french/scene/administration.rpy	1842	"c shy ""[what]"""
registration_16ab8548	a	Cela vous inciterait-il à cesser de frapper à ma porte ?	game/tl/french/scene/administration.rpy	1845	"a neutral ""[what]"""
registration_3830cadb	c	Désolé, monsieur. Je ne voulais pas vous déranger.	game/tl/french/scene/administration.rpy	1848	"c sad ""[what]"""
registration_cd92aa22	a	Et pourtant, vous êtes là, à me déranger.	game/tl/french/scene/administration.rpy	1851	"a angry ""[what]"""
registration_b8150aec	c	...	game/tl/french/scene/administration.rpy	1854	"c suspicious ""[what]"""
registration_f3af629f	a	Qu'attendez-vous ? Prenez place !	game/tl/french/scene/administration.rpy	1857	"a angry ""[what]"""
registration_85f07f16	c	Merci Monsieur.	game/tl/french/scene/administration.rpy	1860	"c neutral ""[what]"""
registration_a31537d5		Le siège de la chaise est dur et inflexible, tout comme l'expression froide du visage de l'administrateur.	game/tl/french/scene/administration.rpy	1863	[what]
registration_e353870e	a	Ne me faites pas perdre mon temps. Qu'est-ce que vous voulez ?	game/tl/french/scene/administration.rpy	1866	"a neutral ""[what]"""
registration_57cc96ac	c	Est-ce le bureau de l'administration ?	game/tl/french/scene/administration.rpy	1869	"c neutral ""[what]"""
registration_72862bc0		L'administrateur a fixé ses yeux sur les vôtres pendant ce qui a semblé être une éternité.	game/tl/french/scene/administration.rpy	1872	[what]
registration_6378d7d1	a	Avez-vous lu le panneau sur ma porte ?	game/tl/french/scene/administration.rpy	1875	"a neutral ""[what]"""
registration_3f87a3f4	c	Oui, monsieur.	game/tl/french/scene/administration.rpy	1878	"c suspicious ""[what]"""
registration_eb7a2bff	a	Que dit-elle ?	game/tl/french/scene/administration.rpy	1881	"a neutral ""[what]"""
registration_fe3ed76b	c	Administration.	game/tl/french/scene/administration.rpy	1884	"c sad ""[what]"""
registration_9a521b9d	a	Je m'interrogeais : Peut-être ne savez-vous pas lire ?	game/tl/french/scene/administration.rpy	1887	"a suspicious ""[what]"""
registration_0ef8b86a	a	Puisque vous savez lire, pourquoi devez-vous poser la question ?	game/tl/french/scene/administration.rpy	1890	"a friendly ""[what]"""
registration_bed68605	c	Euh...	game/tl/french/scene/administration.rpy	1893	"c neutral ""[what]"""
registration_c077c1f9	a	Alors... Que voulez-vous ?	game/tl/french/scene/administration.rpy	1896	"a tough ""[what]"""
registration_0b7a92c4	c	J'ai perdu ma carte d'étudiant.	game/tl/french/scene/administration.rpy	1899	"c sad ""[what]"""
registration_2b59cb65		Un autre long regard, cette fois-ci des pieds à la tête.	game/tl/french/scene/administration.rpy	1902	[what]
registration_5cd78e3e	a	En effet, les jeunes d'aujourd'hui sont tous imprudents, insouciants et stupides !	game/tl/french/scene/administration.rpy	1905	"a angry ""[what]"""
registration_9989d20f	c	Au moins, nous ne sommes pas vieux et méchants.	game/tl/french/scene/administration.rpy	1908	"c angry ""[what]"""
registration_7eb133bc	a	QU'EST-CE QUE TU VIENS DE DIRE ?	game/tl/french/scene/administration.rpy	1911	"a angry ""[what]"" with vpunch"
registration_d8b0e592	c	Vous m'avez entendu.	game/tl/french/scene/administration.rpy	1914	"c neutral ""[what]"""
