Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
headhome_51044312,,You have never seen him this enthusiastic. And friendly.,game/tl/portuguese/scene/headhome.rpy,16,[what]
headhome_521513cb,,"Anticipation is dancing across his face, like a child excited to open their birthday presents.",game/tl/portuguese/scene/headhome.rpy,17,[what]
headhome_90ed7799,h,Are you looking forward to this as much as I do?,game/tl/portuguese/scene/headhome.rpy,20,"h happy ""[what]"""
headhome_a3888693,c,I think it was a mistake to come here.,game/tl/portuguese/scene/headhome.rpy,25,"c tough ""[what]"""
headhome_65a3337b,h,Nonsense. You gonna like it!,game/tl/portuguese/scene/headhome.rpy,26,"h evil ""[what]"""
headhome_6a9521e8,h,Consider it a lesson.,game/tl/portuguese/scene/headhome.rpy,27,"h tough ""[what]"""
headhome_71bad588,h,I am going to teach you quite a lot!,game/tl/portuguese/scene/headhome.rpy,28,"h evil ""[what]"""
headhome_c6bbc345,,You need all your self-restraint not to flinch when he touches you.,game/tl/portuguese/scene/headhome.rpy,43,[what]
headhome_e6d32508,,"Whenever you feel him make contact with you, you feel unclean but in a way no amount of showering will wash away.",game/tl/portuguese/scene/headhome.rpy,44,[what]
headhome_0e916c0e,,You feel a warm shiver run down your spine when he touches your shoulder.,game/tl/portuguese/scene/headhome.rpy,46,[what]
headhome_973838dd,,He has a deep and very seductive smell on him.,game/tl/portuguese/scene/headhome.rpy,47,[what]
headhome_a4f384ee,,The headmaster opens an expensive looking bottle of wine.,game/tl/portuguese/scene/headhome.rpy,54,[what]
headhome_67905d73,c,Oh. Uhm. I am not 21 years old yet.,game/tl/portuguese/scene/headhome.rpy,56,"c suspicious ""[what]"""
headhome_76315860,h,Don't worry about it.,game/tl/portuguese/scene/headhome.rpy,57,"h evil ""[what]"""
headhome_14ec76ef,h,I won't tell anyone!,game/tl/portuguese/scene/headhome.rpy,58,"h flirt ""[what]"""
headhome_45f85633,,"You clink glasses, and taste the wine.",game/tl/portuguese/scene/headhome.rpy,59,[what]
headhome_6c32449f,,"It tastes good, unlike any wine you have tasted before.",game/tl/portuguese/scene/headhome.rpy,63,[what]
headhome_0120fbd2,,"It is heavy, and strong, but in a good way.",game/tl/portuguese/scene/headhome.rpy,64,[what]
headhome_c1e577b6,,"And you can feel the alcohol almost immediately pop in your head, making you relaxed and a little bit dizzy.",game/tl/portuguese/scene/headhome.rpy,65,[what]
headhome_92a89cf0,h,You don't know what you miss.,game/tl/portuguese/scene/headhome.rpy,68,"h neutral ""[what]"""
headhome_03c481b3,,You don't trust the Headmaster. You've read about people spiking drinks at parties and you wouldn't put it past this man.,game/tl/portuguese/scene/headhome.rpy,71,[what]
headhome_d693a706,,"You feel right at home already, and eager to find out what the headmaster intends to do.",game/tl/portuguese/scene/headhome.rpy,73,[what]
headhome_480c8a46,,You can feel his gaze all over your body.,game/tl/portuguese/scene/headhome.rpy,75,[what]
headhome_f3b7af1e,,It is like he has X-ray vision.,game/tl/portuguese/scene/headhome.rpy,76,[what]
headhome_470071f7,c,I have been looking forward to this all day.,game/tl/portuguese/scene/headhome.rpy,82,"c desire ""[what]"""
headhome_11338d1b,,"He is closing in. You can feel breath on your neck, it smells of liquor and cigars.",game/tl/portuguese/scene/headhome.rpy,87,[what]
headhome_cafe42cf,,The sandpaper sensation of his coarse goatee hairs scraping across the side of your face as he leans in much too close for comfort.,game/tl/portuguese/scene/headhome.rpy,89,[what]
headhome_f1161c58,,"You inhale his smell again, and you can feel he sandpaper sensation of his coarse goatee hairs scraping across the side of your face as he leans in, giving you goose flesh.",game/tl/portuguese/scene/headhome.rpy,91,[what]
headhome_9170ea85,,You can't deny the man has a commanding presence to him.,game/tl/portuguese/scene/headhome.rpy,93,[what]
headhome_09d4f1b7,,"Even when he is not speaking, you feel his authority wash over you.",game/tl/portuguese/scene/headhome.rpy,94,[what]
headhome_64caad14,,The power imbalance between you is intimidating.,game/tl/portuguese/scene/headhome.rpy,95,[what]
headhome_3c9f1ce7,,You know he holds your fate in his hands.,game/tl/portuguese/scene/headhome.rpy,96,[what]
headhome_75433e31,,You have already done it in his office.,game/tl/portuguese/scene/headhome.rpy,100,[what]
headhome_62628beb,,"So it is no big deal, right?",game/tl/portuguese/scene/headhome.rpy,101,[what]
headhome_8b69ed8d,,You thank God at least there is no open window this time.,game/tl/portuguese/scene/headhome.rpy,102,[what]
headhome_61cc4659,,You'd rather die than be seen by anyone.,game/tl/portuguese/scene/headhome.rpy,104,[what]
headhome_384c9580,,His right hand is under your shirt now and moves toward your belly.,game/tl/portuguese/scene/headhome.rpy,106,[what]
headhome_50d96600,,And further down.,game/tl/portuguese/scene/headhome.rpy,107,[what]
headhome_e1246dfa,,"Before he can reach for your private parts, you break free.",game/tl/portuguese/scene/headhome.rpy,108,[what]
headhome_05bfed9a,,You panicked. You couldn't help it.,game/tl/portuguese/scene/headhome.rpy,110,[what]
headhome_eb834574,,You're like a lame zebra in the presence of a mighty lion.,game/tl/portuguese/scene/headhome.rpy,111,[what]
headhome_437489cd,,And he is toying with his prey.,game/tl/portuguese/scene/headhome.rpy,112,[what]
headhome_977db51d,c,"Hey, hold your horses!",game/tl/portuguese/scene/headhome.rpy,114,"c flirt ""[what]"""
headhome_1f7cdcca,h,"Well, do it yourself then!",game/tl/portuguese/scene/headhome.rpy,115,"h laugh ""[what]"""
headhome_443daf8e,,His grip tightens.,game/tl/portuguese/scene/headhome.rpy,124,[what]
headhome_bafea467,,The embrace is not so gentle anymore.,game/tl/portuguese/scene/headhome.rpy,125,[what]
headhome_ef1e2aec,,"You can tell at once, he is not accustomed to people refusing his demands.",game/tl/portuguese/scene/headhome.rpy,126,[what]
headhome_b956370d,,You've angered him.,game/tl/portuguese/scene/headhome.rpy,127,[what]
headhome_c7cb5de9,h,Why did you come here then?,game/tl/portuguese/scene/headhome.rpy,128,"h angry ""[what]"""
headhome_654438b8,h,Enough of this! Drop it now or leave!,game/tl/portuguese/scene/headhome.rpy,129,"h ""[what]"""
headhome_d1bae536,h,"You know you're a mediocre student, you'll never be able to catch up.",game/tl/portuguese/scene/headhome.rpy,131,"h angry ""[what]"""
headhome_dfc08ac5,h,This is your one and only chance.,game/tl/portuguese/scene/headhome.rpy,132,"h ""[what]"""
headhome_a07f98f8,h,I'd suggest you take it while I'm still feeling generous.,game/tl/portuguese/scene/headhome.rpy,133,"h ""[what]"""
headhome_16c60789,c,I don't know.,game/tl/portuguese/scene/headhome.rpy,136,"c sad ""[what]"""
headhome_a3c02e76,h,"Here, take another drink.",game/tl/portuguese/scene/headhome.rpy,138,"h friendly ""[what]"""
headhome_d3cc4504,,He fills up your glass again.,game/tl/portuguese/scene/headhome.rpy,139,[what]
headhome_dd645017,h,It will make you relax.,game/tl/portuguese/scene/headhome.rpy,142,"h ""[what]"""
headhome_1ec97320,,"You hesitate, but you take the drink and empty the glass in one big gulp.",game/tl/portuguese/scene/headhome.rpy,143,[what]
headhome_4a713e88,,"A gentle warmth spread out in your whole body, and you get the impression the room is spinning a little.",game/tl/portuguese/scene/headhome.rpy,144,[what]
headhome_23242634,,"You can see the headmaster's desire in his eyes, and enjoy the power you have over him.",game/tl/portuguese/scene/headhome.rpy,147,[what]
headhome_a4c360b3,,"He wants to see and feel your body so bad, especially since you denied it to him last time.",game/tl/portuguese/scene/headhome.rpy,148,[what]
headhome_88accdd1,,It is like a christmas gift he wasn't allowed to open yet.,game/tl/portuguese/scene/headhome.rpy,149,[what]
headhome_f801847a,,With some effort you break free of his embrace and start to strip your shirt.,game/tl/portuguese/scene/headhome.rpy,155,[what]
headhome_706a9e68,,You've never felt so trapped in all of your life.,game/tl/portuguese/scene/headhome.rpy,157,[what]
headhome_ef08f622,,So...vulnerable. ,game/tl/portuguese/scene/headhome.rpy,158,[what]
headhome_c4e7aa96,,You are still not sure if this a good idea at all.,game/tl/portuguese/scene/headhome.rpy,160,[what]
headhome_463caef4,,"You can feel the headmaster's desire almost physically, and it feels like a compliment.",game/tl/portuguese/scene/headhome.rpy,162,[what]
headhome_b16e4a15,,He doesn't say a word while you do it - slowly like he demanded.,game/tl/portuguese/scene/headhome.rpy,164,[what]
headhome_cf11dfbd,,And you don't look up.,game/tl/portuguese/scene/headhome.rpy,167,[what]
headhome_f9a6af11,,You are too ashamed to make eye contact.,game/tl/portuguese/scene/headhome.rpy,168,[what]
headhome_920c97a8,,But you can feel his gaze upon you.,game/tl/portuguese/scene/headhome.rpy,169,[what]
headhome_b04abb5e,,You look him in the eyes while you slowly drop your shirt.,game/tl/portuguese/scene/headhome.rpy,171,[what]
headhome_abb1f8b5,,"Although he just praised you, there's just something about the way he said it that made even the praise feel demeaning.",game/tl/portuguese/scene/headhome.rpy,177,[what]
headhome_0b06e188,,Everything about this is wrong.,game/tl/portuguese/scene/headhome.rpy,178,[what]
headhome_b6a713bb,,And getting worse by the minute.,game/tl/portuguese/scene/headhome.rpy,179,[what]
headhome_6255d44b,,"Even though you are still not sure you should do this, is felt good to be appreciated like this.",game/tl/portuguese/scene/headhome.rpy,181,[what]
headhome_181af5fb,,"The way he looked at you, his desire and appreciation feeds your self-consciousness.",game/tl/portuguese/scene/headhome.rpy,183,[what]
headhome_321783d4,,"Of all the students at the university, he decided to pick you, and invite you to his home.",game/tl/portuguese/scene/headhome.rpy,184,[what]
headhome_a79f12e2,,"It makes you feel special, and attractive.",game/tl/portuguese/scene/headhome.rpy,185,[what]
headhome_244e69b6,,You know that this is all some kind of power play.,game/tl/portuguese/scene/headhome.rpy,189,[what]
headhome_fb71f441,,"If you don't make a bold move now, it may be too late to assert yourself later.",game/tl/portuguese/scene/headhome.rpy,190,[what]
headhome_69079e2f,h,For free? You want me to pay you?,game/tl/portuguese/scene/headhome.rpy,192,"h tough ""[what]"""
headhome_d4f26d4c,h,Are you a whore?,game/tl/portuguese/scene/headhome.rpy,193,"h angry ""[what]"""
headhome_8f71b4b4,,"He looks at you for a long time, not saying anything.",game/tl/portuguese/scene/headhome.rpy,198,[what]
headhome_41916147,c,I know you want to see it.,game/tl/portuguese/scene/headhome.rpy,199,"c flirt ""[what]"""
headhome_60c31ca7,h,"Oh, I want to do more than just ""see"" it!",game/tl/portuguese/scene/headhome.rpy,200,"h laugh ""[what]"""
headhome_3bf98943,c,What is it worth to you then?,game/tl/portuguese/scene/headhome.rpy,201,"c flirt ""[what]"""
headhome_dbf5482c,h,You want money? Like a whore?,game/tl/portuguese/scene/headhome.rpy,202,"h suspicious ""[what]"""
headhome_18bced38,,It sounded more like compliment than an insult.,game/tl/portuguese/scene/headhome.rpy,203,[what]
headhome_bde7dd56,c,Not money.,game/tl/portuguese/scene/headhome.rpy,204,"c evil ""[what]"""
headhome_8eb7ee91,c,I was more thinking about my marks.,game/tl/portuguese/scene/headhome.rpy,205,"c ""[what]"""
headhome_fa1352cb,h,So you want to play games with me?,game/tl/portuguese/scene/headhome.rpy,206,"h neutral ""[what]"""
headhome_c62d78a6,,His voice is so measured and even. You can't tell if you just won a measure of respect.,game/tl/portuguese/scene/headhome.rpy,208,[what]
headhome_9d21a677,,Or lost the last shred of human dignity you possessed.,game/tl/portuguese/scene/headhome.rpy,209,[what]
headhome_ed05309d,,The Headmaster's face is impassive and unreadable.,game/tl/portuguese/scene/headhome.rpy,210,[what]
headhome_8a3e7c5c,h,"Two points? For your shirt? I think you overestimate your worth, little whore.",game/tl/portuguese/scene/headhome.rpy,213,"h friendly ""[what]"""
headhome_eae91bb3,h,Oh yes you are.,game/tl/portuguese/scene/headhome.rpy,216,"h neutral ""[what]"""
headhome_e5eb80a0,h,"I like that, you little slut.",game/tl/portuguese/scene/headhome.rpy,217,"h desire ""[what]"""
headhome_39d1858e,h,Okay. I'll give you half a point.,game/tl/portuguese/scene/headhome.rpy,218,"h friendly ""[what]"""
headhome_1cfa5320,,You slowly dropped your shirt.,game/tl/portuguese/scene/headhome.rpy,225,[what]
headhome_739491f4,,"You've won a great victory, the Headmaster yielded to your demands.",game/tl/portuguese/scene/headhome.rpy,226,[what]
headhome_9b440cac,,At least partially.,game/tl/portuguese/scene/headhome.rpy,227,[what]
headhome_68f8b468,,"It is enough, your sense of helplessness eases slightly.",game/tl/portuguese/scene/headhome.rpy,230,[what]
headhome_57c19dcb,,You never imagined how seductive power games could be.,game/tl/portuguese/scene/headhome.rpy,232,[what]
