Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
Bar_Connor_cc8ebaee,c,Let's do the interview!,game/scene/News/beach/Bar_Connor.rpy,13,"c happy ""[what]"""
Bar_Connor_5932c1a5,t,Let's talk to the others first before I talk to you. Okay?,game/scene/News/beach/Bar_Connor.rpy,25,"t neutral ""[what]"""
Bar_Connor_561d5d7e,c,Sure.,game/scene/News/beach/Bar_Connor.rpy,27,"c sad ""[what]"""
Bar_Julian_99f7e164,j,Coming soon!,game/scene/News/beach/bar_julian.rpy,11,"j sad ""[what]"""
Bar_Julio_6f906dfd,jc,That was... intense.,game/scene/News/beach/bar_julio.rpy,10,"jc suspicious ""[what]"""
Bar_Julio_a3a6df05,jc,I hope you don't mind if I continue my sunbath.,game/scene/News/beach/bar_julio.rpy,11,"jc friendly ""[what]"""
Bar_Julio_73cae028,jc,Alone.,game/scene/News/beach/bar_julio.rpy,13,"jc suspicious ""[what]"""
Bar_Julio_1f49bb5a,,"The morning sun casts a lazy, golden hue over the beach, the sound of gentle waves creating a rhythmic backdrop.",game/scene/News/beach/bar_julio.rpy,29,[what]
Bar_Julio_46c6cb50,,"You follow Tom as he approaches Julio, who's lounging on a beach chair under the shade of a brightly colored parasol.",game/scene/News/beach/bar_julio.rpy,30,[what]
Bar_Julio_e840eb59,,"A cooling box sits beside him, a can of cola perched on top, beads of condensation trickling down its side.",game/scene/News/beach/bar_julio.rpy,31,[what]
Bar_Julio_5dd0ac41,,"Julio looks up, his relaxed demeanor shifting to annoyance as he spots Tom and the camera in your hands.",game/scene/News/beach/bar_julio.rpy,33,[what]
Bar_Julio_ce78e3df,,You can't help but feel a twinge of sympathy; it's clear he wasn't expecting this intrusion.,game/scene/News/beach/bar_julio.rpy,34,[what]
Bar_Julio_262fa109,t,"You are Julio, right?",game/scene/News/beach/bar_julio.rpy,42,"t happy ""[what]"""
Bar_Julio_9ddfac3e,t,I'm Tom Wallerby from PrideTV.,game/scene/News/beach/bar_julio.rpy,44,"t ""[what]"""
Bar_Julio_b043101e,t,We are talking to members of the wrestling team today.,game/scene/News/beach/bar_julio.rpy,45,"t ""[what]"""
Bar_Julio_0da28a48,,Tom kneels down next to him.,game/scene/News/beach/bar_julio.rpy,49,[what]
Bar_Julio_d846e164,,"You notice him making eye contact, touching Julio's thigh slightly.",game/scene/News/beach/bar_julio.rpy,50,[what]
Bar_Julio_ff4b607c,,"Combined with his friendly expression, you realize he is trying to make Julio feel at ease.",game/scene/News/beach/bar_julio.rpy,51,[what]
Bar_Julio_1f4d2cc2,jc,"I'm here to relax, not to give interviews. Can't this wait?",game/scene/News/beach/bar_julio.rpy,53,"jc angry ""[what]"""
Bar_Julio_b5aa104c,,"Tom, undeterred, flashes a persuasive smile.",game/scene/News/beach/bar_julio.rpy,55,[what]
Bar_Julio_ed5d75f3,t,"It'll only take a few minutes, Julio.",game/scene/News/beach/bar_julio.rpy,57,"t friendly ""[what]"""
Bar_Julio_5a15b901,t,Your perspective as an exchange student is really valuable to our viewers.,game/scene/News/beach/bar_julio.rpy,58,"t flirt ""[what]"""
Bar_Julio_828f4bcc,,"You adjust the camera, capturing the interplay of sunlight and shadow, the vibrant colors of the beach forming a stark contrast to Julio's evident discomfort.",game/scene/News/beach/bar_julio.rpy,60,[what]
Bar_Julio_8de3773c,jc,Fine. But make it quick.,game/scene/News/beach/bar_julio.rpy,62,"jc sad ""[what]"""
Bar_Julio_d1b3c294,t,"So, Julio, how has your experience been on the wrestling team here compared to back home?",game/scene/News/beach/bar_julio.rpy,76,"t friendly ""[what]"""
Bar_Julio_8e5f96f3,,"Julio takes a moment, his gaze drifting towards the ocean, as if searching for the right words.",game/scene/News/beach/bar_julio.rpy,78,[what]
Bar_Julio_14bb019e,jc,"It's different... I don't always feel understood. Cultural differences, I guess.",game/scene/News/beach/bar_julio.rpy,80,"jc sad ""[what]"""
Bar_Julio_1e746f05,,"Tom nods, encouraging him to elaborate.",game/scene/News/beach/bar_julio.rpy,82,[what]
Bar_Julio_9efd0673,t,"Has that been a challenge for you, integrating with the team?",game/scene/News/beach/bar_julio.rpy,84,"t friendly ""[what]"""
Bar_Julio_1e3efa27,,There's a brief flicker of vulnerability in Julio's eyes before he guards himself again.,game/scene/News/beach/bar_julio.rpy,86,[what]
Bar_Julio_2e5b81ee,jc,"Yes, it's not easy. I work hard, but sometimes I must prove myself more than others.",game/scene/News/beach/bar_julio.rpy,90,"jc tough ""[what]"""
Bar_Julio_960f69a6,,"The sound of the waves seems to underscore his words, a natural symphony to the underlying tension of the conversation.",game/scene/News/beach/bar_julio.rpy,92,[what]
Bar_Julio_9f71feb5,t,That sounds tough. Do you feel like you have the support you need from your teammates and coaches?,game/scene/News/beach/bar_julio.rpy,96,"t neutral ""[what]"""
Bar_Julio_70cfac25,,"Julio pauses, taking another sip of his cola, the can now slick with moisture in the warm air.",game/scene/News/beach/bar_julio.rpy,98,[what]
Bar_Julio_9a03fcfa,jc,"It varies. Some people are great, others... Well, they have their preconceptions.",game/scene/News/beach/bar_julio.rpy,102,"jc tough ""[what]"""
Bar_Julio_b5d90c54,,The interview with Julio under the parasol takes a more serious turn as Tom broaches a delicate subject.,game/scene/News/beach/bar_julio.rpy,104,[what]
Bar_Julio_f04bdc69,t,"Julio, about the recent incident involving [name] and the headmaster... What was your perspective on that?",game/scene/News/beach/bar_julio.rpy,106,"t worry ""[what]"""
Bar_Julio_e5260601,,"Julio shifts uncomfortably in his beach chair, his gaze momentarily flicking towards you, [name], behind the camera.",game/scene/News/beach/bar_julio.rpy,110,[what]
Bar_Julio_0c2e830e,jc,"I... I saw it, but only from a distance. It wasn’t right what happened.",game/scene/News/beach/bar_julio.rpy,112,"jc sad ""[what]"""
Bar_Julio_33edf031,,"There's a hint of something more in his tone, a mix of confusion and disapproval.",game/scene/News/beach/bar_julio.rpy,114,[what]
Bar_Julio_7862c48d,t,Were there others involved?,game/scene/News/beach/bar_julio.rpy,116,"t suspicious ""[what]"""
Bar_Julio_a3b74ec8,,"Julio takes a deep breath, his discomfort evident.",game/scene/News/beach/bar_julio.rpy,118,[what]
Bar_Julio_bf77066f,jc,I... I don't want to get anyone in trouble.,game/scene/News/beach/bar_julio.rpy,120,"jc sad ""[what]"""
Bar_Julio_39fddddb,jc,"Like I said, I was not involved in it anyway.",game/scene/News/beach/bar_julio.rpy,122,"jc angry ""[what]"""
Bar_Julio_6d5f4972,,"His eyes flash back to you again, seeking advice.",game/scene/News/beach/bar_julio.rpy,124,[what]
Bar_Julio_d0a24b02,c,That is enough. We are done here.,game/scene/News/beach/bar_julio.rpy,141,"c angry ""[what]"""
Bar_Julio_a82aaa5f,t,But...,game/scene/News/beach/bar_julio.rpy,142,"t sad ""[what]"""
Bar_Julio_87e413cd,c,I said we are done!,game/scene/News/beach/bar_julio.rpy,143,"c angry ""[what]"""
Bar_Julio_fa3081b1,c,Or do you want to look for another cameraman?,game/scene/News/beach/bar_julio.rpy,144,"c suspicious ""[what]"""
Bar_Julio_d696aa73,t,[RelVal],game/scene/News/beach/bar_julio.rpy,147,"t sad ""[what]"""
Bar_Julio_afab1df1,jc,[RelVal],game/scene/News/beach/bar_julio.rpy,149,"jc flirt ""[what]"""
Bar_Julio_c680ed04,,Tom sighs but accepts his defeat.,game/scene/News/beach/bar_julio.rpy,151,[what]
Bar_Julio_6cff00fe,,His reporter smile flashed back on.,game/scene/News/beach/bar_julio.rpy,152,[what]
Bar_Julio_f89c2530,t,Thank you for your time!,game/scene/News/beach/bar_julio.rpy,155,"t friendly ""[what]"""
Bar_Julio_53c6fc27,,"Sensing Julio's growing unease, Tom adopts a more soothing demeanor. He leans in slightly, his voice softer, trying to create a sense of trust and ease.",game/scene/News/beach/bar_julio.rpy,173,[what]
Bar_Julio_c600e5c5,t,"Julio, I can see this is tough for you to discuss. We want to understand what happened, to get the full picture.",game/scene/News/beach/bar_julio.rpy,175,"t flirt ""[what]"""
Bar_Julio_93d3cd45,,"Tom's words seem to have a gentle, reassuring effect.",game/scene/News/beach/bar_julio.rpy,177,[what]
Bar_Julio_71e89bbf,,"Julio takes a deep breath, visibly trying to relax under the interview pressure.",game/scene/News/beach/bar_julio.rpy,178,[what]
Bar_Julio_9a288708,jc,It's just... there's a lot of tension around this. I don’t want to make things worse.,game/scene/News/beach/bar_julio.rpy,180,"jc sad ""[what]"""
Bar_Julio_06b4b0e7,,You and Tom begin to massage Julio's feet.,game/scene/News/beach/bar_julio.rpy,184,[what]
