Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
chris_home_4558d50e,n_nvl,Stör mich nicht! Ich bin beschäftigt! {image=images/emoji/angry.png},game/chapter/chris_home.rpy,164,"n_nvl ""[what]"""
chris_home_429148c1,t_nvl,Hast du was von Chris gehört? {image=images/emoji/sad.png},game/chapter/chris_home.rpy,165,"t_nvl e2m ""[what]"""
chris_home_3ff8ddc1,n_nvl,Nein. Warum sollte ich? {image=images/emoji/thinking.png},game/chapter/chris_home.rpy,166,"n_nvl ""[what]"""
chris_home_729fc047,t_nvl,"Kannst du mal hören, ob bei ihm alles in Ordnung ist? {image=images/emoji/fear.png}",game/chapter/chris_home.rpy,167,"t_nvl e2m ""[what]"""
chris_home_4c4d9caf,t_nvl,Nur so ein Gefühl. {image=images/emoji/sweat.png},game/chapter/chris_home.rpy,169,"t_nvl e2m ""[what]"""
chris_home_8fedbc87,n_nvl,Hm. Sein Handy ist aus. {image=images/emoji/thinking.png},game/chapter/chris_home.rpy,172,"n_nvl ""[what]"""
chris_home_ba02572b,t_nvl,Können wir mal bei ihm nach dem Rechten sehen? {image=images/emoji/fear.png},game/chapter/chris_home.rpy,173,"t_nvl e2m ""[what]"""
chris_home_d07e5a0f,n_nvl,Weil du so ein Gefühl hast? {image=images/emoji/angry.png},game/chapter/chris_home.rpy,174,"n_nvl ""[what]"""
chris_home_70f5e233,t_nvl,"Ja, bitte. {image=images/emoji/sweat.png}",game/chapter/chris_home.rpy,175,"t_nvl e2m ""[what]"""
chris_home_466c9ff8,n_nvl,Dann habe ich aber was gut bei dir! {image=images/emoji/cool.png},game/chapter/chris_home.rpy,176,"n_nvl ""[what]"""
t_room_party_d9fc2688,t,"Ich... schau noch mal, ob ich nicht doch noch etwas finde.",game/tl/English/chapter/t_room.rpy,3440,"t ""[what]"""
t_room_party_8418c36f,t,Was hältst du von Wein?,game/tl/English/chapter/t_room.rpy,3446,"t flirt ""[what]"""
t_room_party_81f0dbc3,j,Das habe ich gemeint!,game/tl/English/chapter/t_room.rpy,3452,"j happy ""[what]"""
