Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
forced_ending_b7c4289f,c,So...I guess I'll just have to force it out of you.,game/chapter/b_forced.rpy,72,"c evil ""[what]"""
forced_ending_4e480533,,"Christopher then grabbed his blade from the side, holiding it toward Jeffrey menacingly.",game/chapter/b_forced.rpy,73,[what]
forced_ending_1f0fcaf5,,"He didn't know how to fight, but he was sure he could at least do some damage with it, if necessary.",game/chapter/b_forced.rpy,74,[what]
forced_ending_df3d72d2,j,You can't be serious...,game/chapter/b_forced.rpy,75,"j afraid ""[what]"""
forced_ending_2a766de1,c,"Well, we're alone here, far from any of your guards, so...",game/chapter/b_forced.rpy,76,"c evil ""[what]"""
forced_ending_cc995eb6,c,I'd say I'm in charge.,game/chapter/b_forced.rpy,77,"c evil ""[what]"""
forced_ending_be151666,j,"And what exactly do you intend on doing to me, rogue?",game/chapter/b_forced.rpy,78,"j determinated ""[what]"""
forced_ending_515dcb6f,c,"Let's start by having you strip, shall we?",game/chapter/b_forced.rpy,79,"c evil ""[what]"""
forced_ending_cb1054b3,c,I don't think you'll be needing those expensive clothes tonight...,game/chapter/b_forced.rpy,80,"c lust ""[what]"""
forced_ending_1eb01cfc,,"Jeffrey grimaced as he angrily pulled off his boots, having no choice but to acquiesce to Christopher's demands.",game/chapter/b_forced.rpy,81,[what]
forced_ending_caf8fd6e,j,"You will surely pay for this when the castle comes looking for me, you know...",game/chapter/b_forced.rpy,82,"j angry ""[what]"""
forced_ending_e5a19fd2,c,I think you and I will have plenty of time alone together before that...,game/chapter/b_forced.rpy,83,"c desire ""[what]"""
forced_ending_1e0fe525,c,I'm going to make sure I enjoy it.,game/chapter/b_forced.rpy,84,"c desire ""[what]"""
forced_ending_1d733ac7,c,You should do the same.,game/chapter/b_forced.rpy,85,"c desire ""[what]"""
forced_ending_88145518,,As the then shirtless prince hesitantly lowered his trousers and stepped out of them...,game/chapter/b_forced.rpy,86,[what]
forced_ending_afaa91fc,,"He covered his groin with his hands, trying to maintain the slightest modesty.",game/chapter/b_forced.rpy,87,[what]
forced_ending_684447aa,c,"Come on, don't be shy...",game/chapter/b_forced.rpy,88,"c determinated ""[what]"""
forced_ending_e389c242,c,Show me your royal shaft.,game/chapter/b_forced.rpy,89,"c evil ""[what]"""
forced_ending_607219aa,,"Jeffrey grunted in annoyance as he moved his hands away, revealing a sizable package to the beggar.",game/chapter/b_forced.rpy,90,[what]
forced_ending_a5be24da,c,Mmm...that's actually pretty impressive...,game/chapter/b_forced.rpy,91,"c lust ""[what]"""
forced_ending_b3fa8003,c,And you have quite the body for a prince who just sits around all day.,game/chapter/b_forced.rpy,92,"c lust ""[what]"""
forced_ending_f30ce525,j,You've seen what you wanted to see!,game/chapter/b_forced.rpy,93,"j rage ""[what]"""
forced_ending_7d41e212,j,Can we end this ridiculous performance now?,game/chapter/b_forced.rpy,94,"j rage ""[what]"""
forced_ending_602ab36e,c,"Come on, Prince Jeffrey...",game/chapter/b_forced.rpy,95,"c sad ""[what]"""
forced_ending_1d357586,c,The night is just beginning!,game/chapter/b_forced.rpy,96,"c desire ""[what]"""
forced_ending_827cb81a,c,In fact...,game/chapter/b_forced.rpy,97,"c evil ""[what]"""
forced_ending_0769c7f7,,"Christopher reached over to the side, grabbing some lengths of rope he noticed when he was first here.",game/chapter/b_forced.rpy,98,[what]
forced_ending_7a050460,c,Let's make sure you stay put so we can have some real fun.,game/chapter/b_forced.rpy,99,"c evil ""[what]"""
forced_ending_e67203c4,c,Get on the bed.,game/chapter/b_forced.rpy,100,"c evil ""[what]"""
forced_ending_0559a248,,"Jeffrey visibly gulped at this, as he started to realize he was in for a long night with his savior turned captor.",game/chapter/b_forced.rpy,101,[what]
forced_ending_e910e013,,"Against his will, he slowly crawled back onto the bed, as Christopher approached him with the rope...",game/chapter/b_forced.rpy,102,[what]
forced_ending_842d55da,,Christopher felt his heart beating with his excitement as he looked down at Jeffrey's predicament.,game/chapter/b_forced.rpy,104,[what]
forced_ending_f3ab69c9,,The prince angrily yanked at the rope securing his wrists and ankles to the four corners of the bed.,game/chapter/b_forced.rpy,105,[what]
forced_ending_a96d7898,,"He also mumbled angrily into his new gag, which Christopher added to silence his bothersome and continuous protests.",game/chapter/b_forced.rpy,106,[what]
forced_ending_93efbedd,,"Christopher had also fully disrobed himself, knowng the armor would soon be gone anyway.",game/chapter/b_forced.rpy,107,[what]
forced_ending_36328a12,,"As he stared down at the helpless prince, he stroked his own pulsating erection, prepping himself.",game/chapter/b_forced.rpy,108,[what]
forced_ending_8daddb0e,c,"I'm so excited for this, Jeffrey...",game/chapter/b_forced.rpy,109,"c evil ""[what]"""
forced_ending_451c76b7,c,I can't wait to finally put you to some good use...,game/chapter/b_forced.rpy,110,"c lust ""[what]"""
forced_ending_a89d3789,,"As Jeffrey finally caught sight of Christopher's exposed cock, he thrashed fearfully, knowing immediately what he planned to do.",game/chapter/b_forced.rpy,111,[what]
