Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
updater_check_914f85ca,,A new version is available! [new_version],game/tl/spain/elements/updatescreen.rpy,15,[what]
registration_8eacf4da,c,[RelVal],game/tl/spain/scene/administration.rpy,80,"c sad ""[what]"""
registration_043dc297,c,[RelVal],game/tl/spain/scene/administration.rpy,89,"c happy ""[what]"""
registration_7957bf60,a,"Very well, [name].",game/tl/spain/scene/administration.rpy,112,"a tough ""[what]"""
age_157f2e0e,a,"All right, so you are [age] years old?",game/tl/spain/scene/administration.rpy,141,"a friendly ""[what]"""
age_8eacf4da,c,[RelVal],game/tl/spain/scene/administration.rpy,224,"c sad ""[what]"""
age_043dc297,c,[RelVal],game/tl/spain/scene/administration.rpy,237,"c happy ""[what]"""
age_8eacf4da_1,c,[RelVal],game/tl/spain/scene/administration.rpy,248,"c sad ""[what]"""
age_8eacf4da_2,c,[RelVal],game/tl/spain/scene/administration.rpy,255,"c sad ""[what]"""
age_8eacf4da_3,c,[RelVal],game/tl/spain/scene/administration.rpy,270,"c sad ""[what]"""
age_043dc297_1,c,[RelVal],game/tl/spain/scene/administration.rpy,277,"c happy ""[what]"""
ron_warn_2c51ffea,r,"[name], what did you say about my drink at the party again?",game/tl/spain/scene/Afterparty/afterparty_logic.rpy,11,"r worry ""[what]"""
ron_warn_f47e2743,j,"I can't believe that you tricked Ron into believing such horrible lies, [name]!",game/tl/spain/scene/Afterparty/afterparty_logic.rpy,21,"j hate nude ""[what]"""
ron_warn_9aef5b6e,r,"[name], is it really true?",game/tl/spain/scene/Afterparty/afterparty_logic.rpy,26,"r sad ""[what]"""
ron_warn_36ebc56c,r,"[name], is-is it really true? Did Julian really put a drug in my beer?",game/tl/spain/scene/Afterparty/afterparty_logic.rpy,40,"r pain ""[what]"""
ron_warn_a46e71eb,j,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,64,"j down nude ""[what]"""
ron_warn_cd8d6283,r,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,66,"r down ""[what]"""
ron_camera_2238ecf2,j,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,110,"j hate nude ""[what]"""
ron_camera_92edeb75,j,Did [name] tell you about the headmaster and his wife?,game/tl/spain/scene/Afterparty/afterparty_logic.rpy,142,"j sad nude ""[what]"""
ron_camera_0edbf451,j,They made me and [name] do horrible things...,game/tl/spain/scene/Afterparty/afterparty_logic.rpy,154,"j down nude ""[what]"""
ron_camera_e332e0c6,r,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,225,"r sad ""[what]"""
afterparty_choices_09be2cae,r,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,282,"r tough nude ""[what]"""
afterparty_choices_b003208d,j,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,284,"j angry nude ""[what]"""
afterparty_choices_09be2cae_1,r,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,321,"r tough nude ""[what]"""
afterparty_choices_b003208d_1,j,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,323,"j angry nude ""[what]"""
tell_ron_logic_b003208d,j,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,359,"j angry nude ""[what]"""
tell_ron_logic_77b9f890,j,"I don't know, ask [name].",game/tl/spain/scene/Afterparty/afterparty_logic.rpy,392,"j hate nude ""[what]"""
tell_ron_logic_b08193ca,r,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,426,"r tough ""[what]"""
tell_ron_logic_b003208d_1,j,[RelVal],game/tl/spain/scene/Afterparty/afterparty_logic.rpy,428,"j angry nude ""[what]"""
join_drunk_bad_bdae376b,r,[RelVal],game/tl/spain/scene/Afterparty/join_drunk_bad.rpy,9,"r angry ""[what]"""
join_drunk_bad_522ee80a,r,[RelVal],game/tl/spain/scene/Afterparty/join_drunk_bad.rpy,16,"r angry nude ""[what]"""
join_drunk_bad_0ed1deef,r,[RelVal],game/tl/spain/scene/Afterparty/join_drunk_bad.rpy,31,"r hate nude ""[what]"""
join_drunk_bad_b003208d,j,[RelVal],game/tl/spain/scene/Afterparty/join_drunk_bad.rpy,34,"j angry nude ""[what]"""
join_drunk_bad_245fd732,r,[RelVal],game/tl/spain/scene/Afterparty/join_drunk_bad.rpy,287,"r pain nude ""[what]"""
join_drunk_bad_245fd732_1,r,[RelVal],game/tl/spain/scene/Afterparty/join_drunk_bad.rpy,302,"r pain nude ""[what]"""
ron_body_b003208d,j,[RelVal],game/tl/spain/scene/Afterparty/join_drunk_good.rpy,132,"j angry nude ""[what]"""
ron_body_09f5a274,r,[RelVal],game/tl/spain/scene/Afterparty/join_drunk_good.rpy,136,"r friendly nude ""[what]"""
ron_body_b003208d_1,j,[RelVal],game/tl/spain/scene/Afterparty/join_drunk_good.rpy,216,"j angry nude ""[what]"""
ron_body_09f5a274_1,r,[RelVal],game/tl/spain/scene/Afterparty/join_drunk_good.rpy,225,"r friendly nude ""[what]"""
