Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
Bar_Connor_cc8ebaee,c,Let's do the interview!,game/tl/russian/scene/News/beach/Bar_Connor.rpy,7,"c happy ""[what]"""
Bar_Connor_5932c1a5,t,Let's talk to the others first before I talk to you. Okay?,game/tl/russian/scene/News/beach/Bar_Connor.rpy,13,"t neutral ""[what]"""
Bar_Connor_561d5d7e,c,Sure.,game/tl/russian/scene/News/beach/Bar_Connor.rpy,19,"c sad ""[what]"""
Bar_Julian_99f7e164,j,Coming soon!,game/tl/russian/scene/News/beach/bar_julian.rpy,7,"j sad ""[what]"""
Bar_Julio_6f906dfd,jc,That was... intense.,game/tl/russian/scene/News/beach/bar_julio.rpy,7,"jc suspicious ""[what]"""
Bar_Julio_a3a6df05,jc,I hope you don't mind if I continue my sunbath.,game/tl/russian/scene/News/beach/bar_julio.rpy,13,"jc friendly ""[what]"""
Bar_Julio_73cae028,jc,Alone.,game/tl/russian/scene/News/beach/bar_julio.rpy,19,"jc suspicious ""[what]"""
Bar_Julio_1f49bb5a,,"The morning sun casts a lazy, golden hue over the beach, the sound of gentle waves creating a rhythmic backdrop.",game/tl/russian/scene/News/beach/bar_julio.rpy,25,[what]
Bar_Julio_46c6cb50,,"You follow Tom as he approaches Julio, who's lounging on a beach chair under the shade of a brightly colored parasol.",game/tl/russian/scene/News/beach/bar_julio.rpy,31,[what]
Bar_Julio_e840eb59,,"A cooling box sits beside him, a can of cola perched on top, beads of condensation trickling down its side.",game/tl/russian/scene/News/beach/bar_julio.rpy,37,[what]
Bar_Julio_5dd0ac41,,"Julio looks up, his relaxed demeanor shifting to annoyance as he spots Tom and the camera in your hands.",game/tl/russian/scene/News/beach/bar_julio.rpy,43,[what]
Bar_Julio_ce78e3df,,You can't help but feel a twinge of sympathy; it's clear he wasn't expecting this intrusion.,game/tl/russian/scene/News/beach/bar_julio.rpy,49,[what]
Bar_Julio_262fa109,t,"You are Julio, right?",game/tl/russian/scene/News/beach/bar_julio.rpy,55,"t happy ""[what]"""
Bar_Julio_9ddfac3e,t,I'm Tom Wallerby from PrideTV.,game/tl/russian/scene/News/beach/bar_julio.rpy,61,"t ""[what]"""
Bar_Julio_b043101e,t,We are talking to members of the wrestling team today.,game/tl/russian/scene/News/beach/bar_julio.rpy,67,"t ""[what]"""
Bar_Julio_0da28a48,,Tom kneels down next to him.,game/tl/russian/scene/News/beach/bar_julio.rpy,73,[what]
Bar_Julio_d846e164,,"You notice him making eye contact, touching Julio's thigh slightly.",game/tl/russian/scene/News/beach/bar_julio.rpy,79,[what]
Bar_Julio_ff4b607c,,"Combined with his friendly expression, you realize he is trying to make Julio feel at ease.",game/tl/russian/scene/News/beach/bar_julio.rpy,85,[what]
Bar_Julio_1f4d2cc2,jc,"I'm here to relax, not to give interviews. Can't this wait?",game/tl/russian/scene/News/beach/bar_julio.rpy,91,"jc angry ""[what]"""
Bar_Julio_b5aa104c,,"Tom, undeterred, flashes a persuasive smile.",game/tl/russian/scene/News/beach/bar_julio.rpy,97,[what]
Bar_Julio_ed5d75f3,t,"It'll only take a few minutes, Julio.",game/tl/russian/scene/News/beach/bar_julio.rpy,103,"t friendly ""[what]"""
Bar_Julio_5a15b901,t,Your perspective as an exchange student is really valuable to our viewers.,game/tl/russian/scene/News/beach/bar_julio.rpy,109,"t flirt ""[what]"""
Bar_Julio_828f4bcc,,"You adjust the camera, capturing the interplay of sunlight and shadow, the vibrant colors of the beach forming a stark contrast to Julio's evident discomfort.",game/tl/russian/scene/News/beach/bar_julio.rpy,115,[what]
Bar_Julio_8de3773c,jc,Fine. But make it quick.,game/tl/russian/scene/News/beach/bar_julio.rpy,121,"jc sad ""[what]"""
Bar_Julio_d1b3c294,t,"So, Julio, how has your experience been on the wrestling team here compared to back home?",game/tl/russian/scene/News/beach/bar_julio.rpy,127,"t friendly ""[what]"""
Bar_Julio_8e5f96f3,,"Julio takes a moment, his gaze drifting towards the ocean, as if searching for the right words.",game/tl/russian/scene/News/beach/bar_julio.rpy,133,[what]
Bar_Julio_14bb019e,jc,"It's different... I don't always feel understood. Cultural differences, I guess.",game/tl/russian/scene/News/beach/bar_julio.rpy,139,"jc sad ""[what]"""
Bar_Julio_1e746f05,,"Tom nods, encouraging him to elaborate.",game/tl/russian/scene/News/beach/bar_julio.rpy,145,[what]
Bar_Julio_9efd0673,t,"Has that been a challenge for you, integrating with the team?",game/tl/russian/scene/News/beach/bar_julio.rpy,151,"t friendly ""[what]"""
Bar_Julio_1e3efa27,,There's a brief flicker of vulnerability in Julio's eyes before he guards himself again.,game/tl/russian/scene/News/beach/bar_julio.rpy,157,[what]
Bar_Julio_2e5b81ee,jc,"Yes, it's not easy. I work hard, but sometimes I must prove myself more than others.",game/tl/russian/scene/News/beach/bar_julio.rpy,163,"jc tough ""[what]"""
Bar_Julio_960f69a6,,"The sound of the waves seems to underscore his words, a natural symphony to the underlying tension of the conversation.",game/tl/russian/scene/News/beach/bar_julio.rpy,169,[what]
Bar_Julio_9f71feb5,t,That sounds tough. Do you feel like you have the support you need from your teammates and coaches?,game/tl/russian/scene/News/beach/bar_julio.rpy,175,"t neutral ""[what]"""
Bar_Julio_70cfac25,,"Julio pauses, taking another sip of his cola, the can now slick with moisture in the warm air.",game/tl/russian/scene/News/beach/bar_julio.rpy,181,[what]
Bar_Julio_9a03fcfa,jc,"It varies. Some people are great, others... Well, they have their preconceptions.",game/tl/russian/scene/News/beach/bar_julio.rpy,187,"jc tough ""[what]"""
Bar_Julio_b5d90c54,,The interview with Julio under the parasol takes a more serious turn as Tom broaches a delicate subject.,game/tl/russian/scene/News/beach/bar_julio.rpy,193,[what]
Bar_Julio_f04bdc69,t,"Julio, about the recent incident involving [name] and the headmaster... What was your perspective on that?",game/tl/russian/scene/News/beach/bar_julio.rpy,199,"t worry ""[what]"""
Bar_Julio_e5260601,,"Julio shifts uncomfortably in his beach chair, his gaze momentarily flicking towards you, [name], behind the camera.",game/tl/russian/scene/News/beach/bar_julio.rpy,205,[what]
Bar_Julio_0c2e830e,jc,"I... I saw it, but only from a distance. It wasn’t right what happened.",game/tl/russian/scene/News/beach/bar_julio.rpy,211,"jc sad ""[what]"""
Bar_Julio_33edf031,,"There's a hint of something more in his tone, a mix of confusion and disapproval.",game/tl/russian/scene/News/beach/bar_julio.rpy,217,[what]
Bar_Julio_7862c48d,t,Were there others involved?,game/tl/russian/scene/News/beach/bar_julio.rpy,223,"t suspicious ""[what]"""
Bar_Julio_a3b74ec8,,"Julio takes a deep breath, his discomfort evident.",game/tl/russian/scene/News/beach/bar_julio.rpy,229,[what]
Bar_Julio_bf77066f,jc,I... I don't want to get anyone in trouble.,game/tl/russian/scene/News/beach/bar_julio.rpy,235,"jc sad ""[what]"""
Bar_Julio_39fddddb,jc,"Like I said, I was not involved in it anyway.",game/tl/russian/scene/News/beach/bar_julio.rpy,241,"jc angry ""[what]"""
Bar_Julio_6d5f4972,,"His eyes flash back to you again, seeking advice.",game/tl/russian/scene/News/beach/bar_julio.rpy,247,[what]
Bar_Julio_d0a24b02,c,That is enough. We are done here.,game/tl/russian/scene/News/beach/bar_julio.rpy,253,"c angry ""[what]"""
Bar_Julio_a82aaa5f,t,But...,game/tl/russian/scene/News/beach/bar_julio.rpy,259,"t sad ""[what]"""
Bar_Julio_87e413cd,c,I said we are done!,game/tl/russian/scene/News/beach/bar_julio.rpy,265,"c angry ""[what]"""
Bar_Julio_fa3081b1,c,Or do you want to look for another cameraman?,game/tl/russian/scene/News/beach/bar_julio.rpy,271,"c suspicious ""[what]"""
Bar_Julio_d696aa73,t,[RelVal],game/tl/russian/scene/News/beach/bar_julio.rpy,277,"t sad ""[what]"""
Bar_Julio_afab1df1,jc,[RelVal],game/tl/russian/scene/News/beach/bar_julio.rpy,283,"jc flirt ""[what]"""
Bar_Julio_c680ed04,,Tom sighs but accepts his defeat.,game/tl/russian/scene/News/beach/bar_julio.rpy,289,[what]
Bar_Julio_6cff00fe,,His reporter smile flashed back on.,game/tl/russian/scene/News/beach/bar_julio.rpy,295,[what]
Bar_Julio_f89c2530,t,Thank you for your time!,game/tl/russian/scene/News/beach/bar_julio.rpy,301,"t friendly ""[what]"""
Bar_Julio_53c6fc27,,"Sensing Julio's growing unease, Tom adopts a more soothing demeanor. He leans in slightly, his voice softer, trying to create a sense of trust and ease.",game/tl/russian/scene/News/beach/bar_julio.rpy,307,[what]
Bar_Julio_c600e5c5,t,"Julio, I can see this is tough for you to discuss. We want to understand what happened, to get the full picture.",game/tl/russian/scene/News/beach/bar_julio.rpy,313,"t flirt ""[what]"""
Bar_Julio_93d3cd45,,"Tom's words seem to have a gentle, reassuring effect.",game/tl/russian/scene/News/beach/bar_julio.rpy,319,[what]
Bar_Julio_71e89bbf,,"Julio takes a deep breath, visibly trying to relax under the interview pressure.",game/tl/russian/scene/News/beach/bar_julio.rpy,325,[what]
